"lon" "lat" "Proovi.nimi"
"1" 26.45699 58.24387 "Vapramae"
"2" 26.4373 58.19846 "Illi"
"3" 26.41474 58.15658 "Vitipalu"
"4" 26.27875 58.2106 "Konguta"
"5" 26.15339 58.22432 "Vehendi"
"6" 26.32119 58.28426 "Erumae"
"7" 26.37249 58.28301 "Porgumae"
"8" 26.7454 58.3291 "Aardla"
"9" 26.86211 58.33458 "Kurepalu"
"10" 26.96056 58.36043 "Sarakuste"
"11" 27.12398 58.33251 "Kannu"
"12" 27.13286 58.28935 "Vonnu"
"13" 27.02859 58.25366 "Rookse"
"14" 26.63214 58.18499 "Kammeri"
"15" 26.67548 58.23102 "Kambja"
"16" 26.75174 58.26564 "Reola"
"17" 26.81712 58.26367 "Ignase"
"18" 26.92972 58.25019 "Unikula"
"19" 27.36984 58.26345 "Haavametsa"
"20" 27.39618 58.27797 "Kruusahaua"
"21" 27.42453 58.25486 "Aravu"
"26" 26.44435 58.08631 "Pedajamae"
"27" 26.38489 58.10515 "Miti"
"28" 26.11326 58.1028 "Puhaste"
"31" 27.00009 58.17069 "Pimmelaan"
"32" 26.89646 58.20519 "Logina"
"33" 26.87781 58.14798 "Voorepalu"
"36" 27.03075 58.12343 "Taevaskoja"
"44" 27.33305 58.19349 "Savimae"
"73" 26.73058 58.1177 "Sulaoja"
