"X001Vapramae" "X002Illi" "X003Vitipalu" "X004Konguta" "X005Vehendi" "X006.Erumae" "X007Porgumae" "X008Aardla" "X009Kurepalu" "X010Sarakuste" "X011Kannu" "X012Vonnu" "X013Rookse" "X014Kammeri" "X015Kambja" "X016Reola" "X017Ignase" "X018Unikula" "X019Haavametsa" "X020Kruusahaua" "X021Aravu" "X026Pedajamae" "X027Miti" "X028Puhaste" "X031Pimmelaan" "X032Logina" "X033Voorepalu" "X036Taevaskoja" "X044Savimae" "X073Pausakunnu"
"ACTAspic" 0 0 0 0 0 0 1 0 0 0.5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"AEGOpoda" 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"ANEMnemo" 0 0 1 0 0 0 1 0 0 0 1 1 1 0 2 1 2 2 0 0 0 1 0 0 0 1 0 0 0 0
"ASAReuro" 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ATHYfil.fe" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"BRACpinn" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"CALAarun" 2 2 2 0 0 0.5 0 1 0 3 3 3 2 3 0 1 0 3 1 0.5 1 2 1 0 0 2 2 0 1 0
"CALLvulg" 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CAREdigi" 0 0 0 0 0 0 1 0 0 2 1 0 2 1 2 0 1 2 0 0 0 1 0 0 2 0 0 0 0 0
"CIRCalpi" 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CONVmaja" 1 0 2 0 0 3 0 2 0 0 0 0 0 1 0 3 0 2 0 3 0 2 0 0 2 2 1 0.5 0 0
"DESCflex" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"DRYOcart" 1 0 0 3 0 1 0 1 0 1 0 0 1 1 1 1 1 2 0 0 0 1 0 0 0 0 0 0 1 1
"DRYOexpa" 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"EPILangu" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FESTovin" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"FRAGvesc" 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0.5 0 0 2 0 1 0 0 0
"GALElute" 0 0 0 0 0 0 1 0 0 2 1 0 3 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1
"GERAsylv" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 1
"GYMNdryo" 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"HEPAnobi" 0 0 3 0 0 0 2 0 0 2 2 0 3 1 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 1
"IMPAnoli" 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LATHvern" 0 0 0 0 0 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LUZUpilo" 2 1 0 1 0 0 0 0 0 2 1 1 2 2 2 0 0 2 1 1 0 0 1 1 2 0 1 1 1 0
"LYCOanno" 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 1 0 0 0 1 1 0
"MAIAbifo" 1 0 1 1 0 0 1 0 0 0 1 2 3 2 2 1 2 2 0 0 0 0.5 0 1 2 1 1 0 1 1
